Jour,Heure,Seconde,Centième,Vitesse,Type Véhicules,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
17/10/22,15:59,51,37,69,VL,1,294,,,,
17/10/22,16:1,22,3,56,VL,1,231,,,,
17/10/22,16:1,35,6,52,VL,1,268,,,,
17/10/22,16:1,39,61,50,2RM,13,153,,,,
17/10/22,16:1,51,5,46,VL,1,258,,,,
17/10/22,16:1,53,6,47,VL,1,256,,,,
17/10/22,16:2,25,24,42,VL,1,269,,,,
17/10/22,16:2,34,29,52,VL,1,268,,,,
17/10/22,16:2,50,19,41,VL,1,256,,,,
17/10/22,16:2,53,34,46,VL,1,232,,,,
17/10/22,16:3,22,69,44,VL,1,191,,,,
17/10/22,16:3,28,17,49,VL,1,257,,,,
17/10/22,16:3,54,26,49,VL,1,231,,,,
17/10/22,16:4,4,16,42,VL,1,243,,,,
17/10/22,16:4,6,28,41,VL,1,257,,,,
17/10/22,16:4,26,53,49,VL,1,269,,,,
17/10/22,16:4,27,60,51,VL,1,284,,,,
17/10/22,16:6,7,22,48,VL,1,256,,,,
17/10/22,16:6,45,6,52,VL,1,255,,,,
17/10/22,16:7,0,23,46,VL,1,268,,,,
17/10/22,16:7,12,8,38,VL,1,244,,,,
17/10/22,16:7,15,8,40,VL,1,231,,,,
17/10/22,16:7,48,57,43,VL,1,271,,,,
17/10/22,16:7,50,34,56,VL,1,282,,,,
17/10/22,16:8,18,82,67,VL,1,273,,,,
17/10/22,16:9,28,57,46,VL,1,257,,,,
17/10/22,16:9,30,86,45,VL,1,257,,,,
17/10/22,16:9,36,54,38,VL,1,296,,,,
17/10/22,16:9,39,39,40,VL,1,271,,,,
17/10/22,16:9,41,92,43,VL,1,256,,,,
17/10/22,16:9,43,24,44,VL,1,270,,,,
17/10/22,16:9,45,69,46,VL,1,269,,,,
17/10/22,16:10,15,32,45,VL,1,270,,,,
17/10/22,16:10,25,41,50,VL,1,255,,,,
17/10/22,16:10,37,83,60,VL,1,256,,,,
17/10/22,16:10,42,50,58,VL,1,258,,,,
17/10/22,16:10,47,3,46,VL,1,270,,,,
17/10/22,16:10,54,24,56,VL,1,284,,,,
17/10/22,16:11,41,25,58,VL,1,259,,,,
17/10/22,16:11,54,23,47,VL,1,335,,,,
17/10/22,16:11,57,12,58,VL,1,270,,,,
17/10/22,16:12,0,8,56,VL,1,256,,,,
17/10/22,16:13,10,88,36,VL,1,269,,,,
17/10/22,16:13,41,4,41,VL,1,270,,,,
17/10/22,16:13,56,27,49,VL,1,284,,,,
17/10/22,16:13,58,17,51,VL,1,255,,,,
17/10/22,16:14,37,95,43,VL,1,280,,,,
17/10/22,16:14,39,52,41,VL,1,269,,,,
17/10/22,16:14,43,92,38,VL,1,270,,,,
17/10/22,16:14,48,38,35,VL,1,270,,,,
17/10/22,16:15,6,46,49,VL,1,270,,,,
17/10/22,16:15,8,86,50,VL,1,255,,,,
17/10/22,16:15,25,22,44,VL,1,242,,,,
17/10/22,16:15,44,71,38,VL,1,282,,,,
17/10/22,16:16,12,87,48,VL,1,256,,,,
17/10/22,16:16,59,35,39,VL,1,270,,,,
17/10/22,16:17,23,16,46,VL,1,255,,,,
17/10/22,16:18,1,16,41,VL,1,270,,,,
17/10/22,16:18,23,75,49,VL,1,310,,,,
17/10/22,16:19,3,16,52,VL,1,205,,,,
17/10/22,16:19,30,15,50,VL,1,255,,,,
17/10/22,16:20,12,33,47,VL,1,297,,,,
17/10/22,16:20,38,54,66,VL,1,246,,,,
17/10/22,16:21,38,29,44,VL,1,244,,,,
17/10/22,16:22,7,88,54,VL,1,257,,,,
17/10/22,16:22,11,72,46,VL,1,270,,,,
17/10/22,16:22,41,48,40,VL,1,281,,,,
17/10/22,16:22,50,91,41,VL,1,255,,,,
17/10/22,16:22,54,18,42,VL,1,283,,,,
17/10/22,16:23,37,14,61,VL,1,269,,,,
17/10/22,16:24,16,8,40,VL,1,282,,,,
17/10/22,16:24,20,29,36,VL,1,257,,,,
17/10/22,16:24,21,70,38,VL,1,270,,,,
17/10/22,16:24,51,13,53,VL,1,258,,,,
17/10/22,16:25,4,68,53,VL,1,258,,,,
17/10/22,16:26,5,12,45,VL,1,256,,,,
17/10/22,16:26,8,20,52,VL,1,269,,,,
17/10/22,16:27,0,77,44,VL,1,307,,,,
17/10/22,16:27,24,83,51,VL,1,257,,,,
17/10/22,16:27,27,33,49,VL,1,268,,,,
17/10/22,16:27,29,32,50,VL,1,256,,,,
17/10/22,16:27,59,73,45,VL,1,268,,,,
17/10/22,16:28,27,61,47,VL,1,321,,,,
17/10/22,16:28,53,19,35,VL,1,257,,,,
17/10/22,16:28,54,58,32,VL,1,256,,,,
17/10/22,16:28,59,36,38,VL,1,244,,,,
17/10/22,16:29,42,51,51,VL,1,267,,,,
17/10/22,16:29,45,16,56,VL,1,258,,,,
17/10/22,16:29,53,27,37,VL,1,281,,,,
17/10/22,16:29,55,28,39,VL,1,255,,,,
17/10/22,16:31,39,44,46,VL,1,268,,,,
17/10/22,16:31,53,82,45,VL,1,293,,,,
17/10/22,16:33,17,8,49,VL,1,272,,,,
17/10/22,16:33,40,32,52,VL,1,258,,,,
17/10/22,16:35,23,58,41,VL,1,258,,,,
17/10/22,16:35,25,19,41,VL,1,283,,,,
17/10/22,16:36,8,79,44,VL,1,268,,,,
17/10/22,16:36,26,21,27,V�lo �lectrique,13,102,,,,
17/10/22,16:36,35,10,40,VL,1,243,,,,
17/10/22,16:36,37,49,39,VL,1,256,,,,
17/10/22,16:36,40,47,38,VL,1,230,,,,
17/10/22,16:38,12,99,43,VL,1,271,,,,
17/10/22,16:38,22,78,51,VL,1,334,,,,
17/10/22,16:38,32,59,39,VL,1,257,,,,
17/10/22,16:38,33,76,38,VL,1,258,,,,
17/10/22,16:38,35,24,35,VL,1,257,,,,
17/10/22,16:38,38,50,38,VL,1,268,,,,
17/10/22,16:38,40,55,43,VL,1,257,,,,
17/10/22,16:39,38,76,26,2RM,13,115,,,,
17/10/22,16:39,40,67,43,VL,1,271,,,,
17/10/22,16:41,57,76,43,VL,1,255,,,,
17/10/22,16:41,59,90,42,VL,1,271,,,,
17/10/22,16:42,1,68,42,VL,1,245,,,,
17/10/22,16:42,16,53,34,VL,1,281,,,,
17/10/22,16:42,31,95,42,VL,1,255,,,,
17/10/22,16:42,38,41,43,VL,1,270,,,,
17/10/22,16:43,2,84,53,VL,1,283,,,,
17/10/22,16:43,4,60,51,VL,1,271,,,,
17/10/22,16:43,6,55,49,VL,1,257,,,,
17/10/22,16:43,17,13,50,VL,1,270,,,,
17/10/22,16:43,31,68,39,VL,1,244,,,,
17/10/22,16:43,35,10,46,VL,1,243,,,,
17/10/22,16:43,40,18,63,VL,1,258,,,,
17/10/22,16:43,48,81,30,2RM,13,115,,,,
17/10/22,16:44,5,3,43,VL,1,192,,,,
17/10/22,16:44,53,40,37,VL,1,270,,,,
17/10/22,16:45,23,61,54,VL,1,257,,,,
17/10/22,16:45,26,52,50,2RM,13,140,,,,
17/10/22,16:45,35,5,49,VL,1,231,,,,
17/10/22,16:45,38,66,55,VL,1,258,,,,
17/10/22,16:46,1,73,45,VL,1,242,,,,
17/10/22,16:46,33,44,46,VL,1,256,,,,
17/10/22,16:46,34,66,45,VL,1,256,,,,
17/10/22,16:46,37,18,46,VL,1,283,,,,
17/10/22,16:47,47,96,51,VL,1,257,,,,
17/10/22,16:48,27,4,39,VL,1,255,,,,
17/10/22,16:48,32,35,42,VL,1,243,,,,
17/10/22,16:48,33,39,42,VL,1,256,,,,
17/10/22,16:48,47,16,38,VL,1,270,,,,
17/10/22,16:48,58,6,69,VL,1,269,,,,
17/10/22,16:49,8,87,49,VL,1,257,,,,
17/10/22,16:49,43,3,65,VL,1,270,,,,
17/10/22,16:50,15,41,60,2RM,13,153,,,,
17/10/22,16:50,20,33,51,VL,1,257,,,,
17/10/22,16:51,8,28,50,VL,1,321,,,,
17/10/22,16:51,17,43,50,VL,1,257,,,,
17/10/22,16:51,25,13,50,VL,1,321,,,,
17/10/22,16:51,38,47,46,VL,1,244,,,,
17/10/22,16:51,53,50,55,VL,1,246,,,,
17/10/22,16:52,34,30,41,VL,1,256,,,,
17/10/22,16:52,35,89,40,VL,1,284,,,,
17/10/22,16:52,53,17,51,VL,1,281,,,,
17/10/22,16:53,3,44,45,VL,1,243,,,,
17/10/22,16:53,8,30,42,VL,1,232,,,,
17/10/22,16:53,11,40,43,VL,1,257,,,,
17/10/22,16:53,27,87,58,VL,1,280,,,,
17/10/22,16:53,47,69,52,VL,1,244,,,,
17/10/22,16:53,49,45,52,VL,1,282,,,,
17/10/22,16:54,0,44,42,VL,1,269,,,,
17/10/22,16:54,1,78,42,VL,1,282,,,,
17/10/22,16:54,3,76,45,VL,1,295,,,,
17/10/22,16:54,8,30,42,VL,1,269,,,,
17/10/22,16:54,9,79,38,2RM,13,115,,,,
17/10/22,16:54,11,35,44,VL,1,243,,,,
17/10/22,16:54,13,23,40,VL,1,231,,,,
17/10/22,16:54,49,85,46,VL,2,448,,,,
17/10/22,16:55,10,0,44,VL,1,283,,,,
17/10/22,16:55,48,81,41,VL,1,283,,,,
17/10/22,16:55,50,33,43,VL,1,269,,,,
17/10/22,16:55,52,23,46,VL,1,258,,,,
17/10/22,16:56,23,4,26,VL,1,244,,,,
17/10/22,16:56,24,52,25,VL,1,255,,,,
17/10/22,16:56,27,18,34,VL,1,256,,,,
17/10/22,16:56,46,86,44,VL,1,244,,,,
17/10/22,16:56,59,42,48,VL,1,269,,,,
17/10/22,16:57,1,64,48,VL,1,256,,,,
17/10/22,16:57,3,88,55,VL,1,272,,,,
17/10/22,16:57,37,10,44,VL,1,257,,,,
17/10/22,16:57,42,36,50,VL,1,270,,,,
17/10/22,16:58,40,33,64,VL,1,244,,,,
17/10/22,16:59,1,27,42,VL,1,258,,,,
17/10/22,16:59,3,70,40,VL,1,258,,,,
17/10/22,16:59,5,21,40,VL,1,268,,,,
17/10/22,16:59,6,40,42,VL,1,281,,,,
17/10/22,16:59,14,62,54,VL,1,268,,,,
17/10/22,16:59,18,49,52,VL,1,257,,,,
17/10/22,16:59,27,41,44,VL,1,332,,,,
17/10/22,17:0,0,15,43,VL,1,270,,,,
17/10/22,17:0,1,44,41,VL,1,296,,,,
17/10/22,17:0,3,31,37,VL,1,256,,,,
17/10/22,17:0,29,88,54,VL,1,257,,,,
17/10/22,17:0,39,36,49,VL,1,258,,,,
17/10/22,17:1,12,42,52,VL,1,271,,,,
17/10/22,17:1,33,7,47,VL,1,270,,,,
17/10/22,17:1,38,65,43,VL,1,269,,,,
17/10/22,17:1,40,31,46,2RM,13,155,,,,
17/10/22,17:2,5,86,24,Trottinette,13,89,,,,
17/10/22,17:2,15,95,43,VL,1,256,,,,
17/10/22,17:2,27,84,53,VL,1,256,,,,
17/10/22,17:2,51,48,41,VL,1,232,,,,
17/10/22,17:2,58,88,42,VL,1,257,,,,
17/10/22,17:3,52,19,51,VL,1,254,,,,
17/10/22,17:4,29,34,51,VL,1,255,,,,
17/10/22,17:4,59,65,46,VL,1,257,,,,
17/10/22,17:5,30,5,51,VL,1,294,,,,
17/10/22,17:5,31,33,51,VL,1,245,,,,
17/10/22,17:5,38,27,51,VL,1,244,,,,
17/10/22,17:6,11,16,47,VL,1,271,,,,
17/10/22,17:6,17,88,50,VL,1,257,,,,
17/10/22,17:6,43,73,55,VL,1,270,,,,
17/10/22,17:6,47,98,47,VL,1,243,,,,
17/10/22,17:7,11,40,49,VL,1,268,,,,
17/10/22,17:8,8,84,52,VL,1,256,,,,
17/10/22,17:8,54,55,48,VL,1,321,,,,
17/10/22,17:8,57,66,46,PL,7,296,605,153,,
17/10/22,17:9,7,97,35,VL,1,255,,,,
17/10/22,17:9,17,50,43,VL,1,245,,,,
17/10/22,17:9,26,26,45,VL,1,258,,,,
17/10/22,17:9,33,99,47,VL,1,297,,,,
17/10/22,17:10,10,37,42,VL,1,258,,,,
17/10/22,17:10,16,75,51,VL,1,281,,,,
17/10/22,17:10,19,13,47,VL,1,255,,,,
17/10/22,17:10,24,7,40,VL,1,256,,,,
17/10/22,17:10,29,3,47,2RM,13,128,,,,
17/10/22,17:10,32,27,40,VL,1,281,,,,
17/10/22,17:10,34,21,43,VL,1,268,,,,
17/10/22,17:10,36,20,46,VL,1,270,,,,
17/10/22,17:10,38,16,46,VL,1,257,,,,
17/10/22,17:10,49,28,41,VL,1,271,,,,
17/10/22,17:10,56,87,43,VL,1,257,,,,
17/10/22,17:11,30,39,20,VL,1,255,,,,
17/10/22,17:11,32,27,20,VL,1,192,,,,
17/10/22,17:11,34,4,24,V�lo �lectrique,13,101,,,,
17/10/22,17:11,39,3,40,VL,1,257,,,,
17/10/22,17:11,43,62,50,VL,1,256,,,,
17/10/22,17:11,45,75,44,VL,1,256,,,,
17/10/22,17:12,27,76,45,VL,1,268,,,,
17/10/22,17:12,30,3,44,VL,1,192,,,,
17/10/22,17:12,47,40,46,VL,1,256,,,,
17/10/22,17:12,59,72,47,VL,1,232,,,,
17/10/22,17:13,2,68,52,VL,1,295,,,,
17/10/22,17:13,9,15,52,VL,1,230,,,,
17/10/22,17:13,28,77,54,VL,1,257,,,,
17/10/22,17:13,36,20,48,VL,1,258,,,,
17/10/22,17:13,38,20,49,VL,1,258,,,,
17/10/22,17:13,40,7,49,VL,1,258,,,,
17/10/22,17:14,36,19,56,VL,1,232,,,,
17/10/22,17:14,44,18,53,VL,1,282,,,,
17/10/22,17:14,50,9,50,2RM,13,128,,,,
17/10/22,17:15,32,68,42,VL,1,271,,,,
17/10/22,17:15,33,87,42,VL,1,269,,,,
17/10/22,17:15,41,15,43,VL,1,256,,,,
17/10/22,17:15,44,92,57,VL,1,285,,,,
17/10/22,17:15,55,54,52,VL,1,244,,,,
17/10/22,17:17,0,49,43,VL,1,269,,,,
17/10/22,17:17,21,3,51,VL,1,281,,,,
17/10/22,17:18,9,24,57,VL,1,255,,,,
17/10/22,17:18,10,34,55,VL,1,269,,,,
17/10/22,17:19,7,35,41,VL,1,296,,,,
17/10/22,17:19,18,68,46,VL,1,256,,,,
17/10/22,17:19,23,24,40,VL,1,268,,,,
17/10/22,17:19,24,10,43,VL,1,255,,,,
17/10/22,17:20,5,40,59,VL,1,258,,,,
17/10/22,17:20,49,42,40,VL,1,268,,,,
17/10/22,17:20,51,75,43,VL,1,256,,,,
17/10/22,17:20,56,52,45,VL,1,268,,,,
17/10/22,17:21,4,18,47,VL,1,271,,,,
17/10/22,17:22,35,55,26,2RM,13,115,,,,
17/10/22,17:22,37,52,41,VL,1,296,,,,
17/10/22,17:22,49,9,63,VL,1,271,,,,
17/10/22,17:22,51,56,58,VL,1,272,,,,
17/10/22,17:23,19,92,57,VL,1,258,,,,
17/10/22,17:23,37,30,42,VL,1,256,,,,
17/10/22,17:23,39,66,45,VL,1,191,,,,
17/10/22,17:24,5,34,38,VL,1,270,,,,
17/10/22,17:24,7,1,39,VL,1,243,,,,
17/10/22,17:24,8,69,39,VL,1,243,,,,
17/10/22,17:24,18,48,44,VL,1,255,,,,
17/10/22,17:24,34,87,25,V�lo �lectrique,13,102,,,,
17/10/22,17:24,36,67,38,VL,2,387,,,,
17/10/22,17:24,57,97,40,VL,1,256,,,,
17/10/22,17:25,18,41,43,VL,1,257,,,,
17/10/22,17:25,24,6,44,VL,1,192,,,,
17/10/22,17:25,26,3,30,VL,1,282,,,,
17/10/22,17:25,28,74,39,VL,1,230,,,,
17/10/22,17:25,33,57,41,VL,1,257,,,,
17/10/22,17:26,3,14,39,VL,1,231,,,,
17/10/22,17:26,4,12,38,VL,1,256,,,,
17/10/22,17:26,51,24,40,VL,1,255,,,,
17/10/22,17:27,1,9,74,VL,1,258,,,,
17/10/22,17:27,14,74,43,VL,1,269,,,,
17/10/22,17:27,16,17,40,VL,1,269,,,,
17/10/22,17:27,28,4,56,VL,1,270,,,,
17/10/22,17:27,38,14,29,V�lo �lectrique,13,102,,,,
17/10/22,17:27,47,24,45,VL,1,243,,,,
17/10/22,17:27,52,57,37,VL,1,270,,,,
17/10/22,17:28,8,88,49,VL,1,282,,,,
17/10/22,17:28,27,1,51,VL,1,245,,,,
17/10/22,17:28,30,60,27,VL,1,244,,,,
17/10/22,17:28,50,31,39,VL,1,255,,,,
17/10/22,17:28,58,43,46,VL,1,283,,,,
17/10/22,17:29,1,67,40,VL,1,270,,,,
17/10/22,17:29,11,5,49,VL,1,243,,,,
17/10/22,17:29,43,92,46,VL,1,243,,,,
17/10/22,17:29,45,1,49,VL,1,258,,,,
17/10/22,17:30,15,7,35,VL,1,281,,,,
17/10/22,17:30,49,8,34,VL,1,243,,,,
17/10/22,17:31,4,34,52,VL,1,231,,,,
17/10/22,17:31,12,38,46,VL,1,283,,,,
17/10/22,17:31,44,43,54,VL,1,255,,,,
17/10/22,17:31,49,69,40,VL,1,270,,,,
17/10/22,17:32,34,73,57,VL,1,272,,,,
17/10/22,17:32,45,94,44,VL,1,191,,,,
17/10/22,17:33,12,92,51,VL,1,254,,,,
17/10/22,17:33,14,95,50,VL,1,269,,,,
17/10/22,17:33,17,0,52,VL,1,244,,,,
17/10/22,17:33,20,71,49,VL,1,270,,,,
17/10/22,17:33,24,17,45,VL,1,268,,,,
17/10/22,17:33,50,3,38,VL,1,258,,,,
17/10/22,17:34,15,98,45,VL,1,271,,,,
17/10/22,17:34,29,52,57,VL,1,259,,,,
17/10/22,17:34,34,8,74,VL,1,233,,,,
17/10/22,17:34,46,87,45,VL,1,308,,,,
17/10/22,17:36,4,67,43,VL,1,280,,,,
17/10/22,17:36,7,42,42,VL,1,245,,,,
17/10/22,17:36,33,8,51,VL,1,245,,,,
17/10/22,17:36,38,99,43,VL,1,269,,,,
17/10/22,17:36,49,14,45,VL,1,271,,,,
17/10/22,17:37,1,65,45,VL,1,257,,,,
17/10/22,17:37,16,85,54,VL,1,257,,,,
17/10/22,17:38,18,54,39,VL,1,256,,,,
17/10/22,17:38,42,19,44,VL,1,335,,,,
17/10/22,17:38,57,22,40,VL,1,268,,,,
17/10/22,17:39,52,95,43,VL,1,243,,,,
17/10/22,17:40,4,35,51,VL,1,244,,,,
17/10/22,17:40,14,96,29,2RM,13,115,,,,
17/10/22,17:40,16,58,36,VL,1,257,,,,
17/10/22,17:40,18,9,36,VL,1,269,,,,
17/10/22,17:40,20,11,37,VL,1,242,,,,
17/10/22,17:40,22,60,46,VL,1,232,,,,
17/10/22,17:41,5,28,54,VL,1,242,,,,
17/10/22,17:41,20,13,41,VL,1,231,,,,
17/10/22,17:41,22,90,46,VL,1,269,,,,
17/10/22,17:41,27,25,51,VL,1,258,,,,
17/10/22,17:42,0,77,45,VL,1,243,,,,
17/10/22,17:42,1,97,44,VL,1,282,,,,
17/10/22,17:42,8,55,43,VL,1,243,,,,
17/10/22,17:42,33,81,36,VL,1,269,,,,
17/10/22,17:42,35,4,33,2RM,13,140,,,,
17/10/22,17:42,37,47,38,VL,1,270,,,,
17/10/22,17:42,54,56,47,VL,1,272,,,,
17/10/22,17:43,2,26,51,VL,1,245,,,,
17/10/22,17:43,25,21,55,VL,1,246,,,,
17/10/22,17:43,31,58,60,VL,1,256,,,,
17/10/22,17:44,0,28,47,VL,1,257,,,,
17/10/22,17:44,3,45,44,VL,1,256,,,,
17/10/22,17:45,10,6,56,VL,1,270,,,,
17/10/22,17:45,17,84,61,VL,1,281,,,,
17/10/22,17:45,43,1,46,VL,1,282,,,,
17/10/22,17:45,46,97,43,VL,1,256,,,,
17/10/22,17:46,21,21,53,VL,1,258,,,,
17/10/22,17:47,3,38,46,VL,1,270,,,,
17/10/22,17:47,7,39,60,VL,1,268,,,,
17/10/22,17:47,27,47,49,VL,1,256,,,,
17/10/22,17:47,30,87,48,VL,1,258,,,,
17/10/22,17:48,10,75,46,VL,1,270,,,,
17/10/22,17:48,11,70,46,VL,1,269,,,,
17/10/22,17:48,15,75,53,VL,1,270,,,,
17/10/22,17:48,41,27,26,V�lo �lectrique,13,102,,,,
17/10/22,17:48,43,13,24,VL,1,257,,,,
17/10/22,17:48,54,1,46,VL,1,256,,,,
17/10/22,17:49,13,36,26,V�lo �lectrique,13,102,,,,
17/10/22,17:49,20,28,44,VL,1,256,,,,
17/10/22,17:49,22,57,45,VL,1,256,,,,
17/10/22,17:49,33,13,56,VL,1,268,,,,
17/10/22,17:49,44,35,40,VL,1,268,,,,
17/10/22,17:49,46,97,41,VL,1,271,,,,
17/10/22,17:49,58,14,45,VL,1,268,,,,
17/10/22,17:50,4,39,37,VL,1,256,,,,
17/10/22,17:50,32,2,47,VL,1,271,,,,
17/10/22,17:50,35,74,47,VL,1,257,,,,
17/10/22,17:50,37,11,47,VL,1,284,,,,
17/10/22,17:50,41,67,47,VL,1,257,,,,
17/10/22,17:51,49,32,47,2RM,13,128,,,,
17/10/22,17:51,53,72,52,VL,1,272,,,,
17/10/22,17:52,11,3,58,VL,1,270,,,,
17/10/22,17:52,24,21,47,VL,1,258,,,,
17/10/22,17:52,36,16,58,VL,1,254,,,,
17/10/22,17:52,54,41,49,VL,1,244,,,,
17/10/22,17:53,0,60,63,VL,1,294,,,,
17/10/22,17:53,11,76,28,V�lo �lectrique,13,103,,,,
17/10/22,17:53,34,12,47,VL,1,258,,,,
17/10/22,17:53,46,99,40,VL,1,243,,,,
17/10/22,17:54,22,2,44,VL,1,192,,,,
17/10/22,17:54,38,65,22,V�lo �lectrique,13,102,,,,
17/10/22,17:55,8,13,43,VL,1,232,,,,
17/10/22,17:55,41,91,45,VL,1,269,,,,
17/10/22,17:55,47,8,52,VL,1,295,,,,
17/10/22,17:55,50,36,45,VL,1,283,,,,
17/10/22,17:56,9,54,46,VL,1,268,,,,
17/10/22,17:56,36,72,47,VL,1,256,,,,
17/10/22,17:56,44,87,45,VL,1,269,,,,
17/10/22,17:57,31,89,54,VL,1,268,,,,
17/10/22,17:57,37,62,53,VL,1,269,,,,
17/10/22,17:58,15,25,43,VL,1,191,,,,
17/10/22,17:58,15,75,40,VL,1,192,,,,
17/10/22,17:59,12,61,79,VL,1,257,,,,
17/10/22,18:0,6,96,41,VL,1,282,,,,
17/10/22,18:0,8,29,51,VL,1,257,,,,
17/10/22,18:0,14,16,42,VL,1,256,,,,
17/10/22,18:0,16,46,40,VL,1,281,,,,
17/10/22,18:0,18,39,38,VL,1,257,,,,
17/10/22,18:0,20,2,35,VL,1,191,,,,
17/10/22,18:0,21,59,37,VL,1,269,,,,
17/10/22,18:0,37,42,48,VL,1,257,,,,
17/10/22,18:0,38,84,49,VL,1,258,,,,
17/10/22,18:1,2,28,62,VL,1,270,,,,
17/10/22,18:1,26,59,27,VL,1,243,,,,
17/10/22,18:1,27,86,26,VL,1,269,,,,
17/10/22,18:1,29,92,25,VL,1,294,,,,
17/10/22,18:1,32,82,42,VL,1,257,,,,
17/10/22,18:1,38,68,43,VL,1,270,,,,
17/10/22,18:2,8,20,49,VL,1,230,,,,
17/10/22,18:2,29,93,48,VL,1,242,,,,
17/10/22,18:2,31,38,54,VL,1,268,,,,
17/10/22,18:2,36,0,46,VL,1,257,,,,
17/10/22,18:2,43,27,49,VL,1,257,,,,
17/10/22,18:2,47,46,43,VL,1,268,,,,
17/10/22,18:2,49,23,40,VL,1,268,,,,
17/10/22,18:2,51,81,41,VL,1,258,,,,
17/10/22,18:2,56,61,39,VL,1,257,,,,
17/10/22,18:3,26,0,50,VL,1,281,,,,
17/10/22,18:4,8,64,44,VL,1,268,,,,
17/10/22,18:5,31,26,53,2RM,13,153,,,,
17/10/22,18:5,44,34,48,VL,1,258,,,,
17/10/22,18:5,49,47,51,VL,1,281,,,,
17/10/22,18:5,54,4,43,VL,1,294,,,,
17/10/22,18:6,14,48,63,VL,1,242,,,,
17/10/22,18:6,25,4,48,VL,1,256,,,,
17/10/22,18:6,28,34,44,VL,1,243,,,,
17/10/22,18:6,49,98,41,VL,1,295,,,,
17/10/22,18:6,53,57,49,VL,1,271,,,,
17/10/22,18:6,57,12,43,VL,1,257,,,,
17/10/22,18:7,2,7,45,VL,1,269,,,,
17/10/22,18:8,48,43,47,VL,1,257,,,,
17/10/22,18:9,12,27,56,VL,1,245,,,,
17/10/22,18:9,47,26,49,VL,1,256,,,,
17/10/22,18:9,50,18,45,VL,1,243,,,,
17/10/22,18:9,52,18,46,VL,1,244,,,,
17/10/22,18:9,56,54,47,VL,1,268,,,,
17/10/22,18:9,58,65,47,VL,1,271,,,,
17/10/22,18:10,12,56,43,VL,1,320,,,,
17/10/22,18:10,19,32,42,VL,1,204,,,,
17/10/22,18:10,46,7,29,VL,1,268,,,,
17/10/22,18:10,57,56,44,VL,1,256,,,,
